"filename", "language", "Python", "pip requirements", "HTML", "JavaScript", "YAML", "PostCSS", "comment", "blank", "total"
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/debug_login.html", "HTML", 0, 0, 134, 0, 0, 0, 0, 24, 158
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/debug_login_detailed.html", "HTML", 0, 0, 138, 0, 0, 0, 0, 34, 172
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/home.html", "HTML", 0, 0, 463, 0, 0, 0, 10, 56, 529
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/jobs/ai_job_matches.html", "HTML", 0, 0, 278, 0, 0, 0, 4, 23, 305
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/jobs/job_application.html", "HTML", 0, 0, 104, 0, 0, 0, 0, 8, 112
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/jobs/job_detail.html", "HTML", 0, 0, 267, 0, 0, 0, 8, 22, 297
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/jobs/job_list.html", "HTML", 0, 0, 166, 0, 0, 0, 3, 15, 184
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/jobs/job_search.html", "HTML", 0, 0, 116, 0, 0, 0, 0, 12, 128
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/minimal_base.html", "HTML", 0, 0, 21, 0, 0, 0, 5, 7, 33
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/minimal_login.html", "HTML", 0, 0, 69, 0, 0, 0, 0, 14, 83
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/clean_login.html", "HTML", 0, 0, 274, 0, 0, 0, 1, 53, 328
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/complete_standalone_login.html", "HTML", 0, 0, 273, 0, 0, 0, 0, 50, 323
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/fixed_register.html", "HTML", 0, 0, 296, 0, 0, 0, 2, 55, 353
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/fixed_styled_login.html", "HTML", 0, 0, 319, 0, 0, 0, 1, 62, 382
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/jwt_login.html", "HTML", 0, 0, 404, 0, 0, 0, 1, 75, 480
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/login.html", "HTML", 0, 0, 48, 0, 0, 0, 0, 7, 55
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/password_reset_complete.html", "HTML", 0, 0, 29, 0, 0, 0, 0, 5, 34
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/password_reset_confirm.html", "HTML", 0, 0, 54, 0, 0, 0, 0, 7, 61
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/password_reset_done.html", "HTML", 0, 0, 30, 0, 0, 0, 0, 5, 35
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/password_reset_email.html", "HTML", 0, 0, 9, 0, 0, 0, 0, 6, 15
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/password_reset_form.html", "HTML", 0, 0, 34, 0, 0, 0, 0, 6, 40
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/register.html", "HTML", 0, 0, 257, 0, 0, 0, 0, 41, 298
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/simple_login.html", "HTML", 0, 0, 367, 0, 0, 0, 1, 71, 439
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/standalone_login.html", "HTML", 0, 0, 284, 0, 0, 0, 6, 56, 346
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/ultra_clean_login.html", "HTML", 0, 0, 244, 0, 0, 0, 0, 49, 293
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/registration/working_login.html", "HTML", 0, 0, 324, 0, 0, 0, 1, 62, 387
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/resumes/jwt_upload.html", "HTML", 0, 0, 466, 0, 0, 0, 9, 78, 553
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/resumes/jwt_upload_backup.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/resumes/jwt_upload_clean.html", "HTML", 0, 0, 560, 0, 0, 0, 13, 102, 675
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/resumes/upload.html", "HTML", 0, 0, 275, 0, 0, 0, 6, 26, 307
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/styled_working_login.html", "HTML", 0, 0, 344, 0, 0, 0, 1, 65, 410
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/super_simple_login.html", "HTML", 0, 0, 124, 0, 0, 0, 0, 26, 150
"/home/abdulmukhit/Desktop/ResumeAI/smart_resume_matcher/templates/test_api.html", "HTML", 0, 0, 39, 0, 0, 0, 0, 7, 46
"Total", "-", 5548, 47, 7755, 1470, 28, 4983, 2076, 3641, 25548
